Date,Total Screen Time,Weekdays (1: Weekdays; 0: Weekend),Exam Week (1: Yes; 0: No),Reading Week (1: Yes; 0: No),Assignment
09/01/2025,697,1,0,0,0
09/02/2025,617,1,0,0,0
09/03/2025,895,1,0,0,0
09/04/2025,866,1,0,0,0
09/05/2025,825,1,0,0,0
09/06/2025,346,0,0,0,0
09/07/2025,420,0,0,0,0
09/08/2025,784,1,0,0,0
09/09/2025,776,1,0,0,0
09/10/2025,925,1,0,0,0
09/11/2025,789,1,0,0,0
09/12/2025,653,1,0,0,0
09/13/2025,423,0,0,0,0
09/14/2025,472,0,0,0,0
09/15/2025,774,1,0,0,0
09/16/2025,853,1,0,0,1
09/17/2025,902,1,0,0,1
09/18/2025,556,1,0,0,1
09/19/2025,644,1,0,0,1
09/20/2025,309,0,0,0,0
09/21/2025,315,0,0,0,0
09/22/2025,499,1,0,0,0
09/23/2025,451,1,0,0,0
09/24/2025,732,1,0,0,0
09/25/2025,523,1,0,0,0
09/26/2025,695,1,0,0,0
09/27/2025,461,0,0,0,0
09/28/2025,568,0,0,0,1
09/29/2025,794,1,0,0,1
09/30/2025,755,1,0,0,1
10/01/2025,687,1,0,0,1
10/02/2025,780,1,0,0,1
10/03/2025,636,1,0,0,1
10/04/2025,200,0,0,0,0
10/05/2025,306,0,0,0,0
10/06/2025,945,1,1,0,0
10/07/2025,800,1,1,0,0
10/08/2025,961,1,1,0,0
10/09/2025,707,1,1,0,0
10/10/2025,696,1,1,0,0
10/11/2025,408,0,0,1,0
10/12/2025,588,0,0,1,0
10/13/2025,415,1,0,1,0
10/14/2025,421,1,0,1,0
10/15/2025,309,1,0,1,0
10/16/2025,464,1,0,1,0
10/17/2025,540,1,0,1,1
10/18/2025,565,0,0,1,1
10/19/2025,697,0,0,1,1
10/20/2025,873,1,1,0,1
10/21/2025,756,1,1,0,1
10/22/2025,711,1,1,0,1
10/23/2025,724,1,1,0,1
10/24/2025,835,1,1,0,1
10/25/2025,685,0,0,0,0
10/26/2025,524,0,0,0,0
10/27/2025,682,1,0,0,0
10/28/2025,937,1,0,0,1
10/29/2025,1072,1,0,0,1
10/30/2025,1018,1,0,0,1
10/31/2025,973,1,0,0,1
11/01/2025,529,0,0,0,0
11/02/2025,505,0,0,0,0
11/03/2025,959,1,0,0,1
11/04/2025,1066,1,0,0,1
11/05/2025,942,1,0,0,1
11/06/2025,746,1,0,0,0
11/07/2025,792,1,0,0,0
11/08/2025,412,0,0,0,0
11/09/2025,482,0,0,0,0
11/10/2025,531,1,0,0,0
11/11/2025,804,1,0,0,1
11/12/2025,921,1,0,0,1
11/13/2025,1069,1,0,0,1
11/14/2025,875,1,0,0,1
11/15/2025,1008,0,0,0,1
11/16/2025,987,0,0,0,1
11/17/2025,699,1,0,0,0
11/18/2025,589,1,0,0,0
11/19/2025,601,1,0,0,0
11/20/2025,697,1,0,0,0
11/21/2025,538,1,0,0,0
11/22/2025,481,0,0,0,0
11/23/2025,523,0,0,0,0